Neural Network is started!
Basic information can be given by...
Input Layer Node: 2 Hidden Layer Node :6 Output Layer Node: 1
Training neural network is started in five seconds
Error: 0.4301 Iteration: 10 Jacobian Check: 86023787.9397 Mu: 0.084922
Error: 0.21812 Iteration: 20 Jacobian Check: 83579762697.2319 Mu: 0.090146
Error: 0.21943 Iteration: 30 Jacobian Check: 25015623.9362 Mu: 0.095692
Error: 0.13809 Iteration: 40 Jacobian Check: 178319148.5646 Mu: 0.10158
Error: 0.11939 Iteration: 50 Jacobian Check: 51849388.2575 Mu: 0.10676
Error: 0.10947 Iteration: 60 Jacobian Check: 3138198.9323 Mu: 0.11333
Error: 0.10767 Iteration: 70 Jacobian Check: 1375224.3631 Mu: 0.11793
Error: 0.10872 Iteration: 80 Jacobian Check: 699818.4598 Mu: 0.11793
Error: 0.1092 Iteration: 90 Jacobian Check: 537737.5535 Mu: 0.11793
Error: 0.10932 Iteration: 100 Jacobian Check: 468720.0485 Mu: 0.11793
Error: 0.10932 Iteration: 110 Jacobian Check: 916692.8326 Mu: 0.10992
Error: 0.10928 Iteration: 120 Jacobian Check: 2790811.5852 Mu: 0.099408
Error: 0.10926 Iteration: 130 Jacobian Check: 7468885.5312 Mu: 0.089903
Error: 0.10928 Iteration: 140 Jacobian Check: 6178976.5926 Mu: 0.089004
Error: 0.10937 Iteration: 150 Jacobian Check: 3112447.0122 Mu: 0.089004
Error: 0.10851 Iteration: 160 Jacobian Check: 476905.4204 Mu: 0.090775
Error: 0.10935 Iteration: 170 Jacobian Check: 16851.9448 Mu: 0.096359
Error: 0.10728 Iteration: 180 Jacobian Check: 7808.421 Mu: 0.10127
Error: 0.10231 Iteration: 190 Jacobian Check: 7972.7901 Mu: 0.1075
Error: 0.10001 Iteration: 200 Jacobian Check: 4428.4035 Mu: 0.11875
Error: 0.098648 Iteration: 210 Jacobian Check: 2064.0741 Mu: 0.13118
Error: 0.097728 Iteration: 220 Jacobian Check: 833.0997 Mu: 0.1449
Error: 0.09702 Iteration: 230 Jacobian Check: 305.2954 Mu: 0.16006
Error: 0.096387 Iteration: 240 Jacobian Check: 104.394 Mu: 0.17681
Error: 0.095623 Iteration: 250 Jacobian Check: 34.1939 Mu: 0.1953
Error: 0.092045 Iteration: 260 Jacobian Check: 0.017493 Mu: 0.20732
Error: 0.06605 Iteration: 270 Jacobian Check: 0.013804 Mu: 0.22901
